timestamp,ch0,ch1,r,g,b,lux,temp,isc_a,isc_c
01-Mar-2020 06:39:41,40.5,9.5,42.5,107.5,92.5,14.372,18.6953125,0.5,2
01-Mar-2020 06:44:24,63.5,16,69,165.5,137,21.7352,18.75,0.5,3
01-Mar-2020 06:49:08,110,34,125.5,259,200.5,32.1824,18.7109375,2,5
01-Mar-2020 06:53:52,151,45.5,175,359.5,272.5,45.1984,18.7265625,2.5,7
01-Mar-2020 06:58:35,193,56.5,231,471,352,59.2112,18.7421875,3.5,8.5
01-Mar-2020 07:03:19,231.5,65,281.5,576,426,73.4344,18.7578125,4,9.5
01-Mar-2020 07:12:46,263,71.5,323,669.5,496.5,85.4672,18.8046875,4.5,10.5
01-Mar-2020 07:17:29,292.5,76,361.5,763.5,570.5,98.1176,18.7890625,5,12
01-Mar-2020 07:22:13,331.5,82.5,411.5,880.5,661.5,114.2584,18.84375,5.5,13.5
01-Mar-2020 07:26:56,380.5,93,477,1017.5,761.5,132.388,18.8125,6.5,15
01-Mar-2020 07:31:40,441.5,108,560,1183,876.5,153.548,18.8203125,7.5,17
01-Mar-2020 07:36:23,498.5,122,640.5,1338.5,982,173.332,18.8359375,8.5,19.5
01-Mar-2020 07:41:07,548,133.5,710.5,1474,1074,190.976,18.8125,9.5,21
01-Mar-2020 07:45:50,582.5,140.5,760,1575,1146,203.988,18.8046875,10,22.5
01-Mar-2020 07:50:34,609.5,145,797,1656.5,1209,214.86,18.7890625,10,23.5
01-Mar-2020 07:55:17,626,146,820,1712.5,1255,222.736,18.84375,10.5,24
01-Mar-2020 08:00:00,650,150.5,854.5,1783.5,1307,232.048,18.84375,11,24.5
01-Mar-2020 08:04:44,708,164.5,938.5,1942.5,1412.5,252.352,18.8515625,12,27
01-Mar-2020 08:09:27,751,173.5,1000,2062,1497.5,268.376,18.8671875,12.5,28.5
01-Mar-2020 08:11:28,820.5,188.5,1094.5,2258,1638,293.956,18.890625,13.5,31
01-Mar-2020 08:16:12,862.5,198,1153.5,2375,1720.5,309.108,18.8671875,14.5,32.5
01-Mar-2020 08:20:55,930,213,1246,2566,1860,333.648,18.9140625,15.5,35
01-Mar-2020 08:25:38,947.5,215,1270,2624,1909.5,341.34,18.890625,16,35.5
01-Mar-2020 08:30:22,974,219.5,1306,2704,1971.5,351.952,18.8671875,16.5,36.5
01-Mar-2020 08:35:05,1006,225,1350.5,2798,2044,364.72,18.890625,17,37.5
01-Mar-2020 08:39:48,1051.5,235,1417,2924.5,2129,381.34,18.84375,17.5,39
01-Mar-2020 08:44:32,1116.5,252,1515.5,3097.5,2233.5,403.172,18.8984375,18.5,41.5
01-Mar-2020 08:49:15,1131,255.5,1542,3139.5,2254.5,408.248,18.8671875,19,42
01-Mar-2020 08:53:58,1166,263,1592.5,3235,2319,421.168,18.8828125,19.5,43.5
01-Mar-2020 08:58:42,1221,276,1673,3385.5,2419.5,440.616,18.890625,20.5,45.5
01-Mar-2020 09:03:25,1308.5,297.5,1804.5,3622.5,2570.5,470.98,18.890625,21.5,48.5
01-Mar-2020 09:08:09,1319.5,299,1820,3657.5,2596.5,475.644,18.921875,22,49
