timestamp,ch0,ch1,r,g,b,lux,temp,isc_a,isc_c
08-Mar-2020 05:27:51,38.5,7,108,105.5,50,15.092,19.5859375,0.5,2
08-Mar-2020 05:32:50,41.5,8,111,115,58.5,15.948,19.640625,0.5,2
08-Mar-2020 05:37:49,45.5,8,114.5,127.5,71.5,18.028,19.71875,0.5,2
08-Mar-2020 05:42:48,52,9,121.5,148.5,91,20.704,19.7109375,0.5,2
08-Mar-2020 05:47:46,65,12,135.5,186.5,127,25.352,19.7109375,1.5,3
08-Mar-2020 05:52:45,88.5,15,162,261.5,198,35.46,19.7421875,2,3.5
08-Mar-2020 05:57:44,109.5,18,188.5,324.5,256,44.268,19.75,2.5,4
08-Mar-2020 06:02:43,149.5,28.5,243.5,429.5,331,57.676,19.8046875,3,5.5
08-Mar-2020 06:07:42,217.5,46,340,606,453.5,80.716,19.7734375,4.5,8
08-Mar-2020 06:12:41,244.5,51,378,687,516,91.236,19.78125,5,9
08-Mar-2020 06:17:40,279.5,59,428.5,787,590,103.804,19.765625,5.5,10.5
08-Mar-2020 06:22:39,346,74,524,969.5,718.5,127.824,19.8203125,6.5,13
08-Mar-2020 06:27:38,480.5,106,721,1338.5,976.5,175.236,19.8203125,8.5,17.5
08-Mar-2020 06:32:36,523.5,116.5,791.5,1456,1049,190.204,19.7890625,9,19.5
08-Mar-2020 06:37:35,560,123.5,847.5,1565,1129.5,204.256,19.7734375,10,20.5
08-Mar-2020 06:46:53,607,132,917,1702,1235,222.712,19.765625,10.5,22
08-Mar-2020 06:51:52,701.5,153,1059.5,1967.5,1422,257.068,19.8515625,12,25.5
08-Mar-2020 06:56:51,751.5,162.5,1138,2113,1531,276.38,19.84375,13,27.5
08-Mar-2020 07:01:50,787,168.5,1192,2222.5,1621.5,290.616,19.8046875,14,28.5
08-Mar-2020 07:06:48,803,171,1211,2271.5,1653.5,297.176,19.8125,14,29
08-Mar-2020 07:11:47,850,179.5,1282.5,2414.5,1765.5,315.632,19.7734375,15,30.5
08-Mar-2020 07:16:46,968,203,1464.5,2748.5,2016,360.448,19.859375,17,34.5
08-Mar-2020 07:21:45,1083,229,1635,3076.5,2242,401.944,19.7890625,18.5,38.5
08-Mar-2020 07:26:44,1085,229,1641.5,3081.5,2237,402.984,19.8046875,18.5,38.5
08-Mar-2020 07:31:43,1260.5,265,1909.5,3586,2615,468.9,19.734375,21.5,45
08-Mar-2020 07:36:42,1317.5,276,1992.5,3749.5,2737.5,490.796,19.78125,22.5,47
08-Mar-2020 07:41:40,1153.5,240,1748,3290,2402,430.86,19.734375,20,41
08-Mar-2020 07:46:39,1150,238,1744.5,3284,2398.5,430.448,19.7109375,19.5,40.5
08-Mar-2020 07:51:38,1520.5,317.5,2317.5,4333.5,3154,567.14,19.6953125,26,54
08-Mar-2020 07:56:37,1713,360,2623,4876.5,3527,637.32,19.6796875,29,60.5
08-Mar-2020 08:01:36,2016.5,427.5,3078,5740,4120.5,747.62,19.4453125,34.5,71.5
08-Mar-2020 08:06:35,2043,431,3129.5,5818.5,4180,758.936,19.3515625,34.5,72
08-Mar-2020 08:11:34,2007,422.5,3069,5727,4126.5,746.2,19.359375,34,71
08-Mar-2020 08:16:33,1981,416.5,3028,5647,4068,736.904,19.3984375,34,70
08-Mar-2020 08:21:31,2012.5,424.5,3090,5732,4104,747.652,19.4296875,34,71
08-Mar-2020 08:26:30,2155,456,3327,6143,4377.5,799.576,19.4765625,36.5,76
08-Mar-2020 08:31:29,2135,453.5,3289.5,6089.5,4322.5,790.936,19.515625,36,75.5
08-Mar-2020 08:36:28,2005.5,422.5,3085.5,5728,4079.5,745.42,19.5625,34,71
08-Mar-2020 08:41:26,2028.5,426,3112.5,5798.5,4142,754.916,19.6171875,34.5,71.5
08-Mar-2020 08:46:25,2125,449.5,3252,6070,4324.5,788.552,19.6796875,36,75
08-Mar-2020 08:55:48,2445,517,3757,6974,4985.5,907.432,19.7578125,41,86.5
08-Mar-2020 09:00:47,2882,609,4430.5,8214,5886,1069.904,19.8359375,48.5,102
08-Mar-2020 09:10:44,3125.5,662,4803.5,8894,6374,1159.212,19.890625,52.5,110
08-Mar-2020 09:15:43,4306,917,6656.5,12224,8768,1593.552,19.9453125,72,152
08-Mar-2020 09:20:42,4171,887.5,6469,11851.5,8477.5,1544.12,19.984375,69.5,147
08-Mar-2020 09:25:41,3173.5,677.5,4871.5,9016.5,6395.5,1173.26,20.015625,53,112
08-Mar-2020 09:30:40,3241.5,690.5,4992.5,9214.5,6552.5,1199.468,20.1484375,54.5,114.5
08-Mar-2020 09:35:38,3455,735,5332.5,9826,7003,1279.16,20.2421875,58,122
08-Mar-2020 09:40:37,3483.5,741.5,5353,9907,7054.5,1289.404,20.359375,58,123
08-Mar-2020 09:45:36,4512,958.5,6947,12824,9178.5,1671.456,20.5234375,75,159
08-Mar-2020 09:50:34,5647.5,1205,8765.5,15995,11408.5,2088.38,20.6796875,93.5,199
08-Mar-2020 09:55:33,5453.5,1176.5,8381,15447,10907.5,2007.564,20.8125,90.5,193
08-Mar-2020 10:00:32,7021.5,1518.5,10857.5,19838.5,14037.5,2582.156,20.953125,115.5,248
08-Mar-2020 10:05:31,7466,1633,11463.5,21059,14824.5,2732.688,21.140625,123,264
08-Mar-2020 10:10:30,7566,1680,11464.5,21384,14950,2751.6,21.296875,125,270
08-Mar-2020 10:15:29,7952.5,1771.5,11943.5,22468.5,15743,2888.164,21.390625,132,284
08-Mar-2020 10:20:28,7270.5,1583.5,10995,20543.5,14509,2665.876,21.375,120.5,257.5
08-Mar-2020 10:25:27,8630,1918.5,13048.5,24407,17110,3136.976,21.390625,143,308.5
08-Mar-2020 10:30:25,9021.5,1989.5,13658,25465,17921,3290.572,21.3828125,149.5,320.5
08-Mar-2020 10:35:24,9104.5,1997,13848.5,25685.5,18157.5,3328.452,21.2890625,150.5,323.5
08-Mar-2020 10:40:23,7304,1586,11063.5,20694,14703.5,2681.536,21.171875,121.5,259
08-Mar-2020 10:45:21,7122,1514.5,10961,20185.5,14510.5,2637.232,21.125,118,250.5
08-Mar-2020 10:50:20,6875.5,1461.5,10482,19520,14058,2546.364,21.1171875,114,242.5
08-Mar-2020 10:55:19,7946.5,1702,12240,22525.5,16173.5,2933.972,21.0625,131.5,280.5
08-Mar-2020 11:04:47,5342.5,1113.5,8078.5,15195,11073.5,1994.196,21.0390625,89,187.5
08-Mar-2020 11:09:45,5437,1141.5,8300,15442,11155,2023.624,21.0859375,90.5,191
08-Mar-2020 11:14:44,6767,1460,10478.5,19125.5,13512.5,2491,21.203125,111.5,239
08-Mar-2020 11:19:43,7734,1677.5,12026,21813.5,15333,2840.72,21.3046875,127,273.5
08-Mar-2020 11:24:41,10228.5,2250,15863.5,28779.5,20094.5,3734.82,21.3359375,167.5,362.5
08-Mar-2020 11:29:40,9707.5,2117,15068,27291.5,19123.5,3557.532,21.3359375,158.5,343
08-Mar-2020 11:34:39,13286,2963,20544.5,37240,25795.5,4822.768,21.3671875,216.5,472
08-Mar-2020 11:39:37,13814.5,3122,21452,38752,26732.5,4985.652,21.1953125,225,492.5
08-Mar-2020 11:44:36,11232,2500.5,17377.5,31560,21949,4080.288,20.9453125,183.5,399.5
08-Mar-2020 11:49:34,9824,2189.5,15079,27592,19200.5,3567.072,20.8203125,161,349.5
08-Mar-2020 11:54:33,8974,1992,13892.5,25243.5,17597,3264.112,20.6640625,147.5,319
08-Mar-2020 11:59:32,8003,1773.5,12304.5,22512,15686.5,2913.016,20.5078125,131.5,284.5
08-Mar-2020 12:04:30,7704.5,1706.5,11903,21672.5,15124,2804.964,20.40625,126,274
08-Mar-2020 12:09:28,7092.5,1562.5,10973.5,19955,13947.5,2588.1,20.28125,116.5,252
08-Mar-2020 12:14:27,6715.5,1487,10332,18917,13186.5,2445.212,20.140625,110.5,238.5
08-Mar-2020 12:19:26,7253,1605.5,11244,20416,14242,2641.288,19.9453125,119,258
08-Mar-2020 12:24:24,6024,1329.5,9287,16956,11827.5,2196.512,19.5,99,214
08-Mar-2020 12:29:23,6014.5,1330,9236.5,16951.5,11840.5,2191.22,19.46875,99,214
08-Mar-2020 12:34:21,6031.5,1332.5,9281.5,16991.5,11882.5,2198.3,19.4765625,99.5,214.5
08-Mar-2020 12:39:20,5732.5,1264,8871,16146,11279.5,2091.044,19.453125,94.5,203.5
