timestamp,ch0,ch1,r,g,b,lux,temp,isc_a,isc_c
09-Mar-2020 15:40:05,319.5,59,924,876,427.5,124.604,22.8125,5.5,11
09-Mar-2020 15:54:54,322,59.5,928,885,432,125.552,22.8125,5.5,11
09-Mar-2020 15:59:47,325,60.5,945,892.5,430.5,126.408,22.8125,5.5,11
09-Mar-2020 16:04:40,323,59.5,936,886.5,430,126.072,22.8125,5.5,11
09-Mar-2020 16:09:32,329,61,946,903.5,440,128.136,22.8125,5.5,11
09-Mar-2020 16:14:25,328.5,61,954,905.5,434,127.876,22.8203125,5.5,11
09-Mar-2020 16:19:18,335,63,957.5,912.5,445.5,129.848,22.8203125,5.5,11.5
09-Mar-2020 16:24:11,336,63,956,919.5,444.5,130.368,22.8203125,6,11
09-Mar-2020 16:29:04,334.5,63,964.5,907.5,442.5,129.588,22.828125,5.5,11.5
09-Mar-2020 16:33:57,342.5,65,972.5,937.5,452.5,132.34,22.8203125,6,12
09-Mar-2020 16:38:50,350.5,68,985,945,459,134.388,22.8359375,6,12.5
09-Mar-2020 16:43:42,349,67,983.5,945.5,459.5,134.312,22.84375,6,12.5
09-Mar-2020 16:48:35,365,73.5,1010,971.5,474.5,138.056,22.84375,6,13
09-Mar-2020 16:53:28,378,77,1041,1010.5,486,142.352,22.84375,6,13.5
09-Mar-2020 16:58:21,394.5,81,1064,1049,505.5,148.116,22.8359375,6.5,14
09-Mar-2020 17:03:14,405,84,1086,1068,521,151.464,22.8203125,6.5,14.5
09-Mar-2020 17:08:07,415,87.5,1101.5,1098,529.5,154.2,22.8046875,6.5,14.5
09-Mar-2020 17:13:00,468,102,1204.5,1219,593.5,171.552,22.78125,7.5,16.5
09-Mar-2020 17:17:53,513.5,113.5,1280,1333.5,662,187.116,22.765625,8,18.5
09-Mar-2020 17:27:38,603,136,1439.5,1566,797.5,217.816,22.7421875,9.5,22
09-Mar-2020 17:32:31,583.5,132,1392,1505.5,766.5,210.492,22.7109375,9,21.5
09-Mar-2020 17:37:24,576,133,1374,1473.5,732.5,205.888,22.6875,9,21
09-Mar-2020 17:42:17,565,131,1348,1437,712,201.576,22.65625,9,20.5
09-Mar-2020 17:47:10,525,119.5,1286.5,1347,659.5,188.872,22.6015625,8,19
09-Mar-2020 17:57:10,444,95,1143.5,1169.5,573,164,22.5625,7.5,15.5
09-Mar-2020 18:02:03,356.5,69,989.5,973,475.5,136.804,22.5390625,6,12.5
