timestamp,ch0,ch1,r,g,b,lux,temp,isc_a,isc_c
01-Mar-2020 12:51:48,549.5,80,1389.5,1222.5,623,229.42,22.9453125,9.5,17
01-Mar-2020 12:56:40,548.5,80,1389.5,1222,622.5,228.9,22.9453125,9.5,17
01-Mar-2020 13:01:33,548.5,80,1388.5,1221,621.5,228.9,22.9765625,9.5,17
01-Mar-2020 13:11:19,548.5,79.5,1387.5,1220.5,621.5,229.252,22.9765625,9.5,17
01-Mar-2020 13:16:12,548.5,79.5,1388,1220.5,621.5,229.252,22.9921875,9.5,17
01-Mar-2020 13:21:05,548.5,79.5,1388,1220.5,621.5,229.252,23.015625,9.5,17.5
01-Mar-2020 13:25:57,549,80,1388,1221,621.5,229.16,23.0546875,9.5,17
01-Mar-2020 13:30:50,548.5,79.5,1387,1220,621.5,229.252,23.109375,9.5,17
01-Mar-2020 13:35:42,548.5,79.5,1386.5,1219,621.5,229.252,23.1796875,9.5,17
01-Mar-2020 13:40:35,547.5,79.5,1385.5,1218.5,621,228.732,23.28125,9.5,17
01-Mar-2020 13:45:28,53,11.5,123,126,54.5,19.464,22.203125,0.5,2.5
01-Mar-2020 13:50:21,53,11.5,123,126,54.5,19.464,22.203125,0.5,2.5
01-Mar-2020 14:00:06,55,12,125.5,131,57,20.152,22.2109375,0.5,3
01-Mar-2020 14:04:59,54.5,11.5,125,130,57,20.244,22.2265625,0.5,2.5
01-Mar-2020 14:09:52,54,11.5,124.5,129.5,56.5,19.984,22.234375,0.5,2.5
01-Mar-2020 14:14:45,56,12.5,128,134,59,20.32,22.2578125,0.5,3
01-Mar-2020 14:19:37,57,12.5,129,135.5,59,20.84,22.265625,0.5,3
01-Mar-2020 14:29:22,59,13,132.5,140,61.5,21.528,22.28125,0.5,3
01-Mar-2020 14:34:15,65.5,15,142,154,68.5,23.5,22.3046875,0.5,3
01-Mar-2020 14:39:08,59.5,13.5,133.5,141,62,21.436,22.3125,0.5,3
01-Mar-2020 14:44:01,56.5,12.5,128,134,58,20.58,22.3359375,0.5,3
01-Mar-2020 14:46:20,55,12,126,131,56.5,20.152,22.3671875,0.5,3
01-Mar-2020 14:51:13,55,12,126.5,131,56.5,20.152,22.3828125,0.5,2.5
01-Mar-2020 14:56:06,53,11.5,123.5,126.5,54.5,19.464,22.4140625,0.5,2.5
01-Mar-2020 15:00:58,52.5,11.5,122.5,125,53.5,19.204,22.4375,0.5,3
01-Mar-2020 15:05:51,52.5,11.5,122.5,125,53.5,19.204,22.46875,0.5,2.5
01-Mar-2020 15:10:44,51,10.5,120,121.5,51.5,19.128,22.515625,0.5,2.5
01-Mar-2020 15:15:36,51,10.5,120,121,51.5,19.128,22.5546875,0.5,2.5
01-Mar-2020 15:20:29,52.5,11.5,122,125.5,53.5,19.204,22.6171875,0.5,2.5
01-Mar-2020 15:25:22,53,11.5,122.5,126.5,54.5,19.464,22.6796875,0.5,3
01-Mar-2020 15:30:14,51.5,11,120,123,52.5,19.036,22.7578125,0.5,2.5
01-Mar-2020 15:35:07,50,10.5,117.5,120,51.5,18.608,22.859375,0.5,2.5
01-Mar-2020 15:39:59,138,29,278.5,315,144,51.344,22.9296875,2.5,5.5
01-Mar-2020 15:44:52,135,28,267.5,309,142.5,50.488,22.890625,2.5,5
01-Mar-2020 15:49:45,136,28.5,270,311,143.5,50.656,22.84375,2.5,5.5
01-Mar-2020 15:54:37,141,30,280,323.5,150,52.2,22.796875,2.5,5.5
01-Mar-2020 16:04:23,144.5,31,285.5,332,153,53.316,22.734375,2.5,5.5
01-Mar-2020 16:09:16,140,30,277.5,320,147.5,51.68,22.6796875,2.5,5.5
01-Mar-2020 16:14:08,138,29.5,275,316.5,145.5,50.992,22.6171875,2.5,5.5
01-Mar-2020 16:19:01,142,30,282.5,326,148,52.72,22.546875,2.5,5.5
01-Mar-2020 16:23:54,142,30,281,322.5,148.5,52.72,22.4609375,2.5,5.5
01-Mar-2020 16:28:46,144,31,283.5,328.5,151.5,53.056,22.375,2.5,5.5
01-Mar-2020 16:33:39,144.5,31,283.5,330.5,152.5,53.316,22.28125,2.5,5.5
01-Mar-2020 16:38:32,147,32,291,338,155,53.912,22.171875,2.5,5.5
01-Mar-2020 16:43:24,141,30.5,278.5,321.5,147.5,51.848,22.0546875,2.5,5.5
01-Mar-2020 16:45:48,138,30,274,312,142.5,50.64,22,2.5,5.5
