timestamp,ch0,ch1,r,g,b,lux,temp,isc_a,isc_c
06-Mar-2020 05:37:32,28,9.5,34,56.5,44,7.456,26.203125,0.5,2
06-Mar-2020 05:42:24,48,18,57,94.5,72.5,11.2736,26.109375,0.5,3
06-Mar-2020 05:47:17,69.5,24,82,142.5,109.5,18.1416,26.0859375,0.5,4
06-Mar-2020 05:52:09,91.5,29,110,202.5,156,26.1448,26.0625,1.5,4.5
06-Mar-2020 05:57:02,120,34.5,145.5,280,216.5,37.3632,26.0390625,2,5.5
06-Mar-2020 06:01:54,156.5,43,191.5,378.5,292.5,50.4632,26.0078125,2.5,7
06-Mar-2020 06:11:39,219,58.5,295,541,398.5,72.072,26.0546875,3,9
06-Mar-2020 06:18:25,276.5,73,374,687,502.5,91.7432,26.140625,4,11.5
06-Mar-2020 06:23:17,345,91,470.5,859.5,622,114.5456,26.28125,5.5,14
06-Mar-2020 06:28:10,420,110.5,579.5,1053,755,139.6928,26.3828125,6,17
06-Mar-2020 06:33:02,504.5,132.5,708.5,1262,893,167.9992,26.4609375,7.5,20
06-Mar-2020 06:37:55,730,207,1094,1726.5,1142,229.7952,26.5234375,10.5,29.5
06-Mar-2020 06:42:47,1020,298.5,1617,2334.5,1458,313.0176,26.578125,14,41
06-Mar-2020 06:47:40,961,262,1520,2318,1506,311.6528,26.5859375,14,38
06-Mar-2020 06:52:32,1057,272,1632.5,2676.5,1792.5,356.8624,26.453125,15.5,40.5
06-Mar-2020 06:57:24,1012.5,248,1515.5,2637,1829.5,351.908,26.5,15.5,38.5
06-Mar-2020 07:02:17,1189,294,1811,3093,2109.5,411.304,26.578125,18.5,45
06-Mar-2020 07:07:09,1824,475.5,3003,4585,2909,610.4832,26.6953125,26.5,70
06-Mar-2020 07:12:01,3970.5,1097,7176.5,9621.5,5544,1275.004,26.7734375,55.5,153
06-Mar-2020 07:16:53,3607,985,6430,8859.5,5206.5,1168.3472,26.7265625,51,139
06-Mar-2020 07:21:46,2569,675.5,4300,6496.5,4042.5,854.7952,26.7109375,38,98
06-Mar-2020 07:26:38,2439,640.5,3967.5,6220,3924,812.2512,26.78125,36,93.5
06-Mar-2020 07:31:30,2518.5,648,4144.5,6492,4113.5,850.3704,26.8359375,38,95.5
06-Mar-2020 07:36:23,2774,720,4590,7086.5,4434.5,931.1904,26.8671875,41.5,105
06-Mar-2020 07:41:15,2900,741.5,4800.5,7420.5,4674.5,983.2384,26.9296875,43.5,109.5
06-Mar-2020 07:46:08,2860.5,721.5,4713.5,7351.5,4674,978.4632,26.9765625,43,107.5
06-Mar-2020 07:51:00,3721.5,956.5,6286,9447.5,5843,1257.4568,27.09375,55,140
06-Mar-2020 07:55:53,4649.5,1201,8027,11749.5,7150,1565.8088,27.1796875,68,174.5
06-Mar-2020 08:00:46,5087,1319.5,8725,12729.5,7710,1708.3664,27.296875,74,190.5
06-Mar-2020 08:05:38,6311.5,1650.5,10980,15726,9365.5,2107.9432,27.203125,91.5,237
06-Mar-2020 08:10:31,5423,1394.5,9369.5,13619,8239.5,1831.784,27.0234375,79,203
06-Mar-2020 08:15:23,5016.5,1263,8688,12790,7847,1717.9512,26.859375,74.5,186.5
06-Mar-2020 08:22:14,4898.5,1235.5,8334.5,12450,7731,1675.6184,26.7265625,72.5,181
06-Mar-2020 08:27:06,3883,991.5,6169.5,9998.5,6347,1317.6912,26.71875,59,145.5
06-Mar-2020 08:31:59,6528,1618,11844,16930,10280,2255.488,26.90625,97,242.5
06-Mar-2020 08:36:51,7770,1996,13471.5,19598,11762.5,2626.3136,27.125,114,289.5
06-Mar-2020 08:41:43,10685.5,2734,19268.5,26733.5,15772,3621.3032,27.2890625,154,397
06-Mar-2020 08:46:35,12631.5,3275,22459,31295.5,18307.5,4243.2904,27.4609375,181,469.5
